DATE,TMAX,PRCP,TMIN
2024-03-01,14.0,  180,2.2960692386011936
2024-02-29,11.0,   99,2.7
2024-02-28,12.1,    0,2.372066093359361
2024-02-27,7.2,   51,2.8
2024-02-26,10.0,   10,3.3266071839705758
2024-02-25,8.5,  150,4.0
2024-02-24,10.9,    0,3.9
2024-02-23,8.3,   30,4.01052694621457
2024-02-22,10.2,   51,4.201022247060501
2024-02-21,10.8,  135,4.411022247060501
2024-02-20,17.4,   10,4.2953798749369225
2024-02-19,15.5,   71,11.0
2024-02-18,17.8,    0,4.310722846842954
2024-02-17,16.3,    0,3.7
2024-02-16,9.9,    5,4.075334014737769
2024-02-15,16.9,   99,3.8077901025532204
2024-02-14,19.8,    0,4.8
2024-02-13,16.4,    0,1.1
2024-02-12,11.7,    0,3.399440633103085
2024-02-11,9.7,    0,2.0
2024-02-10,12.4,    5,1.0
2024-02-09,12.1,    0,2.6256877045812796
2024-02-08,9.0,    0,0.8
2024-02-07,10.0,    0,0.8
2024-02-06,9.2,    5,2.1568298488803963
2024-02-05,6.4,  239,2.252905289687705
2024-02-04,11.1,    5,4.2
2024-02-03,10.9,    0,2.075947531195398
2024-02-02,7.7,    0,2.9
2024-02-01,11.8,   51,1.8571402224802915
2024-01-31,10.8,   20,4.0
2024-01-30,13.2,    0,0.9
2024-01-29,10.5,    0,1.7350902766693996
2024-01-28,9.9,    0,1.2
2024-01-27,9.5,    0,1.778925275485917
2024-01-26,7.2,    0,1.5
2024-01-25,5.0,    0,-0.5
2024-01-24,3.8,    0,-1.3
2024-01-23,7.7,0,1.5914015552155318
2024-01-22,12.4,    0,1.660541710737085
2024-01-21,13.9,  239,1.4482607764944124
2024-01-20,9.123076923076923,   79,5.2
2024-01-19,12.5,   10,1.4272912765860937
2024-01-18,9.715934065934064,   99,5.8
2024-01-17,11.4,    0,-0.4
2024-01-16,5.8,    0,1.711590483548466
2024-01-15,7.5,    5,1.7225167497605511
2024-01-14,10.6,    0,-0.6
2024-01-13,11.3,    0,1.7561398509895114
2024-01-12,13.1,    0,1.3
2024-01-11,11.9,    0,1.4590247084298527
2024-01-10,8.7,    5,1.8
2024-01-09,10.4,    0,-0.4
2024-01-08,7.1,    5,1.4237681309179915
2024-01-07,10.4,    0,1.3938932690337356
2024-01-06,13.4,    0,1.6211659963064629
2024-01-05,13.1,    0,1.9
2024-01-04,12.3,   61,1.7179865549716404
2024-01-03,11.4,    0,4.4
2024-01-02,12.5,    0,0.9
2024-01-01,10.0,   76,1.8156813951229829
2023-12-31,13.8,    0,1.6953388377668022
2023-12-30,13.3,    0,1.9
2023-12-29,11.6,    0,1.2940838989884522
2023-12-28,13.7,    0,2.5
2023-12-27,12.0,    0,1.3087586776565197
2023-12-26,10.7,    0,0.4
2023-12-25,11.3,    0,1.0844885674612297
2023-12-24,10.4,    0,0.1
2023-12-23,8.8,    0,-0.8
2023-12-22,6.1,    0,-1.0
2023-12-21,6.7,    0,2.072113385919795
2023-12-20,11.8,    0,2.5
2023-12-19,9.7,    0,2.1056601953381024
2023-12-18,8.4,    0,1.3
2023-12-17,8.1,    0,3.6434339619325367
2023-12-16,18.1,   61,4.235100628599203
2023-12-15,13.47857142857143,   30,10.5
2023-12-14,15.9,    0,4.9
2023-12-13,14.5,0,5.423682898822487
2023-12-12,17.7,   89,5.608298283437872
2023-12-11,18.5,   30,10.9
2023-12-10,19.9,    0,7.5
2023-12-09,18.3,    0,7.2
2023-12-08,15.0,    0,3.8
2023-12-07,15.7,    0,5.335998431855031
2023-12-06,14.9,   10,6.5
2023-12-05,10.9,    0,4.9
2023-12-04,13.2,    0,2.5
2023-12-03,12.9,    0,2.7
2023-12-02,13.0,    0,2.1
2023-12-01,12.8,    0,4.093599843185503
2023-11-30,13.5,    0,4.439054388640049
2023-11-29,14.2,    0,3.8
2023-11-28,17.6,    0,4.327721185985463
2023-11-27,14.1,    0,4.9
2023-11-26,13.8,    0,4.4
2023-11-25,11.9,    5,4.814579583437364
2023-11-24,18.2,    0,5.061359545568035
2023-11-23,19.7,    0,7.6
2023-11-22,18.7,    0,5.7
2023-11-21,16.9,    0,4.8
2023-11-20,16.3,    0,5.7614490117277635
2023-11-19,16.3,    0,6.8
2023-11-18,12.0,    0,5.983738814073317
2023-11-17,16.6,  216,6.100654737136912
2023-11-16,17.7,    0,7.1
2023-11-15,18.0,    0,6.5
2023-11-14,16.9,    0,5.7
2023-11-13,11.1,   51,7.4939825069931105
2023-11-12,14.5,    0,8.427837605820333
2023-11-11,15.8,    0,9.118746696729424
2023-11-10,18.1,  160,9.711768462223313
2023-11-09,24.2,    0,12.4
2023-11-08,22.5,    0,11.1
2023-11-07,22.5,  130,10.771027939313848
2023-11-06,25.0,   79,11.194104862390772
2023-11-05,26.5,    0,15.1
2023-11-04,25.2,    0,14.4
2023-11-03,26.2,    0,13.1
2023-11-02,25.1,    0,12.2
2023-11-01,23.6,    0,10.5
2023-10-31,22.7,    0,12.133193891064055
2023-10-30,21.6,    0,11.2
2023-10-29,19.5,    0,11.0
2023-10-28,21.3,    0,11.784835808278551
